entity,internal_name,display_name,property_type,in_ontology
companies,icalps_address_state,IcAlps_Address_State,string,false
companies,icalps_address_street3,icalps_Address_Street3,string,false
companies,icalps_city,IcAlps_City,string,false
companies,icalps_comp_primarypersonid,IcAlps_Comp_PrimaryPersonId,number,false
companies,icalps_comp_revenue,IcAlps_Comp_Revenue,enumeration,false
companies,icalps_comp_territory,IcAlps_Comp_Territory,string,false
companies,icalps_company_owner_full,IcAlps_Company_owner_full,string,false
companies,icalps_company_sector,IcAlps_Company_sector,enumeration,false
companies,icalps_companyaddress,IcAlps_CompanyAddress,number,false
companies,icalps_companystate,icalps_CompanyState,string,false
companies,icalps_compupdateddate,IcAlps_CompUpdatedDate,date,false
companies,icalps_contact_id,icalps_contact_id,string,false
companies,icalps_createdate,IcAlps_CreateDate,datetime,false
companies,icalps_groupsize,IcAlps_GroupSize,number,false
companies,icalps_industry,IcAlps_Industry,enumeration,false
companies,icalps_sitegroup,IcAlps_SiteGroup,string,false
contacts,ic_alps_contact_quality_score,IC_Alps_contact_quality_score,number,false
contacts,icalps_addresscity,IcAlps_AddressCity,string,false
contacts,icalps_civil,icalps_civil,string,false
contacts,icalps_contact_createdate,icalps_contact_createdate,date,false
contacts,icalps_contactaddresscity,IcAlps_ContactAddressCity,string,false
contacts,icalps_contactcreateddate,IcAlps_ContactCreatedDate,string,false
contacts,icalps_contactstate,IcAlps_ContactState,string,false
contacts,icalps_department,icalps_department,string,false
contacts,icalps_language,icalps_language,string,false
contacts,icalps_lastmodifieddate,icalps_lastmodifieddate,date,false
contacts,icalps_pers_gender,icalps_Pers_Gender,string,false
contacts,icalps_temperature,IcAlps_Temperature,enumeration,false
contacts,icalps_updated_by_email,icalps_updated_by_email,string,false
deals,icalps_amount_k__,IcAlps_Amount(k€),number,false
deals,icalps_deal_created_date,icalps_deal_created_date,date,false
deals,icalps_dealcategory,icalps_dealcategory,string,false
deals,icalps_dealcompanyid,IcAlps_DealCompanyID,string,false
deals,icalps_dealsource,icalps_dealsource,string,false
deals,icalps_netamount,IcAlps_NetAmount,string,false
deals,icalps_opendate2,IcAlps_OpenDate2,date,false
deals,icalps_oppo_primarycompanyid,icAlps_Oppo_PrimaryCompanyId,number,false
deals,icalps_oppo_updateddate,IcAlps_Oppo_UpdatedDate,date,false
deals,icalps_original_status,icalps_original_status,enumeration,false
deals,icalps_originalstage,icalps_originalstage,enumeration,false
deals,icalps_ownerid,IcAlps_ownerid,string,false
deals,icalps_pipeline_stage_key,icalps_Pipeline_Stage_Key,string,false
deals,icalps_primarydealcontact,IcAlps_PrimaryDealContact,number,false
deals,icalps_primaryoppocontact,IcAlps_PrimaryOppoContact,string,false
deals,icalps_transformation_notes,icalps_transformation_notes,string,false
deals,icalpsstageref,IcAlpsStageRef,string,false
